Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),       albite,    anorthite,     sanidine
70,867.72,1.050,-12.033,30.1719,2.6187,58.0176,0.0000,26.5809,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3919,6.6392,0.3705,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-500.446,-424.798,66.307,11.522,36.426,0.576302,0.402538,0.021161
71,867.72,1.050,-12.033,30.1705,2.6187,58.0174,0.0000,26.5810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3920,6.6391,0.3705,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-500.422,-424.778,66.304,11.521,36.424,0.576295,0.402545,0.021160
72,868.47,1.000,-12.024,30.9533,2.6175,58.1400,0.0000,26.4961,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2934,6.6898,0.3807,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-513.495,-435.783,68.071,11.825,37.378,0.580552,0.397713,0.021735
73,868.47,1.000,-12.024,30.9535,2.6175,58.1400,0.0000,26.4961,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2934,6.6898,0.3807,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-513.497,-435.785,68.072,11.825,37.378,0.580552,0.397713,0.021735
74,868.47,1.000,-12.024,30.9522,2.6175,58.1398,0.0000,26.4962,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2935,6.6897,0.3807,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-513.476,-435.767,68.069,11.825,37.377,0.580546,0.397720,0.021734
75,869.21,0.950,-12.015,31.7531,2.6163,58.2625,0.0000,26.4112,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.1947,6.7402,0.3914,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-526.851,-447.025,69.878,12.136,38.353,0.584775,0.392883,0.022342
76,869.21,0.950,-12.015,31.7532,2.6163,58.2625,0.0000,26.4112,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.1947,6.7402,0.3914,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-526.853,-447.027,69.878,12.137,38.353,0.584775,0.392883,0.022342
77,869.21,0.950,-12.015,31.7521,2.6163,58.2624,0.0000,26.4113,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.1948,6.7401,0.3914,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-526.835,-447.011,69.876,12.136,38.352,0.584770,0.392889,0.022341
78,869.93,0.900,-12.006,32.5709,2.6151,58.3850,0.0000,26.3262,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0960,6.7901,0.4027,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-540.510,-458.521,71.726,12.455,39.350,0.588963,0.388054,0.022983
79,869.93,0.900,-12.006,32.5711,2.6151,58.3850,0.0000,26.3262,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0960,6.7901,0.4027,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-540.513,-458.524,71.727,12.455,39.350,0.588963,0.388054,0.022983
