Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     chromite,    hercynite,    magnetite,       spinel,   ulvospinel
111,874.52,0.350,-11.974,1.6467,4.8419,0.0000,9.9900,2.2326,48.3576,0.0000,37.0224,0.0000,2.3974,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11.964,-8.387,3.117,0.340,1.485,0.000000,-0.083568,0.673306,0.132255,0.278007
112,874.52,0.350,-11.974,1.6468,4.8419,0.0000,9.9900,2.2326,48.3576,0.0000,37.0224,0.0000,2.3974,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11.965,-8.387,3.117,0.340,1.485,0.000000,-0.083568,0.673306,0.132255,0.278007
113,874.51,0.350,-11.974,1.6468,4.8419,0.0000,9.9903,2.2325,48.3572,0.0000,37.0228,0.0000,2.3973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11.965,-8.387,3.117,0.340,1.485,0.000000,-0.083566,0.673301,0.132250,0.278015
114,874.17,0.300,-11.985,1.6187,4.8437,0.0000,10.1006,2.1787,48.1793,0.0000,37.1960,0.0000,2.3453,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11.751,-8.237,3.063,0.334,1.459,0.000000,-0.081917,0.671212,0.129456,0.281249
115,874.17,0.300,-11.985,1.6187,4.8437,0.0000,10.1006,2.1787,48.1793,0.0000,37.1960,0.0000,2.3453,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11.751,-8.237,3.063,0.334,1.459,0.000000,-0.081917,0.671212,0.129456,0.281249
116,874.16,0.300,-11.985,1.6188,4.8437,0.0000,10.1009,2.1786,48.1788,0.0000,37.1965,0.0000,2.3452,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11.752,-8.237,3.063,0.334,1.459,0.000000,-0.081914,0.671206,0.129450,0.281258
117,876.43,0.250,-11.948,1.6670,4.8419,0.0000,10.2524,2.1650,47.9086,0.0000,37.3178,0.0000,2.3563,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.124,-8.494,3.158,0.344,1.503,0.000000,-0.082812,0.667338,0.130043,0.285430
118,876.43,0.250,-11.948,1.6670,4.8419,0.0000,10.2524,2.1650,47.9086,0.0000,37.3178,0.0000,2.3563,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.124,-8.494,3.158,0.344,1.503,0.000000,-0.082812,0.667338,0.130043,0.285430
119,876.44,0.250,-11.948,1.6668,4.8419,0.0000,10.2520,2.1650,47.9091,0.0000,37.3176,0.0000,2.3562,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.124,-8.493,3.158,0.344,1.503,0.000000,-0.082809,0.667346,0.130042,0.285422
120,879.40,0.200,-11.898,1.7511,4.8383,0.0000,10.4484,2.1658,47.5505,0.0000,37.4400,0.0000,2.3954,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.776,-8.946,3.324,0.362,1.580,0.000000,-0.084913,0.662028,0.132139,0.290746
121,879.40,0.200,-11.898,1.7511,4.8383,0.0000,10.4484,2.1658,47.5505,0.0000,37.4400,0.0000,2.3954,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.776,-8.945,3.324,0.362,1.580,0.000000,-0.084913,0.662028,0.132139,0.290746
122,879.41,0.200,-11.898,1.7510,4.8383,0.0000,10.4481,2.1658,47.5509,0.0000,37.4398,0.0000,2.3954,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.775,-8.945,3.324,0.362,1.580,0.000000,-0.084911,0.662034,0.132139,0.290738
123,881.73,0.150,-11.860,1.8442,4.8343,0.0000,10.7046,2.1660,47.0805,0.0000,37.6074,0.0000,2.4415,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-13.504,-9.454,3.506,0.381,1.665,0.000000,-0.087400,0.655097,0.134602,0.297700
124,881.73,0.150,-11.860,1.8442,4.8343,0.0000,10.7046,2.1660,47.0805,0.0000,37.6074,0.0000,2.4415,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-13.504,-9.454,3.506,0.381,1.665,0.000000,-0.087400,0.655097,0.134602,0.297700
125,881.74,0.150,-11.860,1.8442,4.8343,0.0000,10.7045,2.1660,47.0807,0.0000,37.6073,0.0000,2.4415,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-13.503,-9.454,3.506,0.381,1.665,0.000000,-0.087399,0.655100,0.134602,0.297697
126,882.99,0.100,-11.842,1.8798,4.8335,0.0000,10.6479,2.2021,47.1520,0.0000,37.5481,0.0000,2.4499,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-13.774,-9.639,3.576,0.389,1.697,0.000000,-0.087058,0.655957,0.135038,0.296063
127,882.99,0.100,-11.842,1.8798,4.8335,0.0000,10.6479,2.2021,47.1520,0.0000,37.5481,0.0000,2.4499,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-13.774,-9.639,3.576,0.389,1.697,0.000000,-0.087058,0.655957,0.135038,0.296063
128,882.98,0.100,-11.842,1.8798,4.8335,0.0000,10.6476,2.2021,47.1525,0.0000,37.5479,0.0000,2.4499,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-13.774,-9.639,3.576,0.389,1.697,0.000000,-0.087055,0.655965,0.135035,0.296055
129,881.45,0.050,-11.875,1.8677,4.8351,0.0000,10.3287,2.3131,47.6267,0.0000,37.3018,0.0000,2.4296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-13.666,-9.568,3.550,0.386,1.686,0.000000,-0.083510,0.662465,0.133901,0.287144
130,881.45,0.050,-11.875,1.8677,4.8351,0.0000,10.3287,2.3131,47.6267,0.0000,37.3018,0.0000,2.4296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-13.667,-9.568,3.550,0.386,1.686,0.000000,-0.083510,0.662465,0.133901,0.287144
