Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     diopside,clinoenstatit, hedenbergite,alumino-buffo,    buffonite,     essenite,      jadeite
105,880.35,0.450,-11.856,6.1473,3.3951,52.9094,0.0465,1.4301,0.6485,0.0000,21.0205,0.0000,23.0291,0.0000,0.0000,0.8971,0.0188,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-88.313,-73.457,12.879,1.811,7.267,-0.656192,0.963057,0.650926,0.022788,-0.020199,0.038268,0.001353
106,880.09,0.450,-11.861,6.1592,3.3953,52.9084,0.0464,1.4288,0.6476,0.0000,21.0296,0.0000,23.0235,0.0000,0.0000,0.8968,0.0188,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-88.474,-73.595,12.902,1.814,7.280,-0.656470,0.963067,0.651234,0.022772,-0.020186,0.038232,0.001352
107,880.09,0.450,-11.861,6.1593,3.3953,52.9083,0.0464,1.4288,0.6476,0.0000,21.0298,0.0000,23.0234,0.0000,0.0000,0.8968,0.0188,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-88.475,-73.596,12.902,1.814,7.281,-0.656478,0.963067,0.651242,0.022771,-0.020185,0.038231,0.001352
108,881.40,0.400,-11.842,6.2586,3.3982,52.8502,0.0451,1.4179,0.6526,0.0000,21.2738,0.0000,22.8537,0.0000,0.0000,0.8882,0.0185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-89.747,-74.608,13.112,1.842,7.392,-0.664961,0.963387,0.659574,0.022464,-0.019951,0.038156,0.001331
109,881.12,0.400,-11.847,6.2708,3.3983,52.8490,0.0450,1.4165,0.6517,0.0000,21.2835,0.0000,22.8478,0.0000,0.0000,0.8880,0.0185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-89.912,-74.750,13.136,1.845,7.406,-0.665256,0.963398,0.659901,0.022447,-0.019937,0.038118,0.001330
110,881.11,0.400,-11.847,6.2710,3.3983,52.8490,0.0450,1.4165,0.6517,0.0000,21.2838,0.0000,22.8476,0.0000,0.0000,0.8880,0.0185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-89.914,-74.752,13.136,1.845,7.407,-0.665266,0.963398,0.659912,0.022446,-0.019937,0.038117,0.001330
111,882.46,0.350,-11.828,6.3789,3.4016,52.7846,0.0436,1.4056,0.6571,0.0000,21.5502,0.0000,22.6613,0.0000,0.0000,0.8793,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-91.287,-75.843,13.364,1.875,7.528,-0.674550,0.963718,0.669033,0.022135,-0.019699,0.038055,0.001308
112,882.15,0.350,-11.833,6.3915,3.4017,52.7834,0.0436,1.4042,0.6561,0.0000,21.5604,0.0000,22.6551,0.0000,0.0000,0.8790,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-91.456,-75.988,13.388,1.879,7.542,-0.674862,0.963729,0.669379,0.022118,-0.019684,0.038015,0.001306
113,882.14,0.350,-11.833,6.3917,3.4017,52.7834,0.0436,1.4041,0.6561,0.0000,21.5608,0.0000,22.6548,0.0000,0.0000,0.8790,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-91.459,-75.991,13.389,1.879,7.542,-0.674874,0.963730,0.669391,0.022117,-0.019684,0.038013,0.001306
114,883.53,0.300,-11.813,6.5098,3.4053,52.7116,0.0422,1.3934,0.6622,0.0000,21.8536,0.0000,22.4490,0.0000,0.0000,0.8702,0.0178,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-92.951,-77.176,13.638,1.912,7.675,-0.685111,0.964054,0.679446,0.021803,-0.019443,0.037968,0.001283
115,883.20,0.300,-11.819,6.5228,3.4055,52.7104,0.0421,1.3919,0.6611,0.0000,21.8642,0.0000,22.4424,0.0000,0.0000,0.8699,0.0178,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-93.124,-77.326,13.662,1.915,7.689,-0.685438,0.964065,0.679809,0.021785,-0.019429,0.037926,0.001281
116,883.19,0.300,-11.819,6.5231,3.4055,52.7104,0.0421,1.3919,0.6611,0.0000,21.8647,0.0000,22.4421,0.0000,0.0000,0.8699,0.0178,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-93.127,-77.328,13.663,1.915,7.690,-0.685452,0.964066,0.679825,0.021784,-0.019428,0.037924,0.001281
