Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     diopside,clinoenstatit, hedenbergite,alumino-buffo,    buffonite,     essenite,      jadeite
74,869.66,1.000,-12.001,5.3002,3.3744,53.3041,0.0611,1.5537,0.6177,0.0000,19.1979,0.0000,24.2400,0.0000,0.0000,1.0039,0.0215,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-77.074,-64.410,11.081,1.571,6.297,-0.593002,0.958983,0.589420,0.026005,-0.022629,0.039694,0.001529
75,870.68,0.950,-11.987,5.3489,3.3755,53.2824,0.0599,1.5443,0.6202,0.0000,19.3062,0.0000,24.1721,0.0000,0.0000,0.9935,0.0213,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-77.732,-64.937,11.187,1.585,6.354,-0.596839,0.959387,0.593040,0.025753,-0.022441,0.039584,0.001516
76,870.68,0.950,-11.987,5.3546,3.3755,53.2824,0.0599,1.5443,0.6202,0.0000,19.3062,0.0000,24.1721,0.0000,0.0000,0.9935,0.0213,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-77.816,-65.007,11.199,1.586,6.361,-0.596839,0.959387,0.593040,0.025753,-0.022441,0.039584,0.001516
77,870.68,0.950,-11.987,5.3546,3.3755,53.2824,0.0599,1.5443,0.6203,0.0000,19.3062,0.0000,24.1722,0.0000,0.0000,0.9935,0.0213,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-77.816,-65.006,11.199,1.586,6.361,-0.596837,0.959387,0.593038,0.025753,-0.022441,0.039585,0.001516
78,871.73,0.900,-11.972,5.4061,3.3768,53.2587,0.0587,1.5347,0.6229,0.0000,19.4222,0.0000,24.0984,0.0000,0.0000,0.9832,0.0211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-78.511,-65.562,11.310,1.601,6.420,-0.600928,0.959782,0.596920,0.025496,-0.022249,0.039475,0.001504
79,871.73,0.900,-11.972,5.4120,3.3768,53.2587,0.0587,1.5347,0.6229,0.0000,19.4222,0.0000,24.0984,0.0000,0.0000,0.9832,0.0211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-78.596,-65.633,11.322,1.603,6.427,-0.600928,0.959782,0.596920,0.025496,-0.022249,0.039475,0.001504
80,871.74,0.900,-11.972,5.4119,3.3767,53.2587,0.0587,1.5348,0.6229,0.0000,19.4221,0.0000,24.0984,0.0000,0.0000,0.9832,0.0211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-78.595,-65.632,11.322,1.603,6.427,-0.600927,0.959782,0.596919,0.025496,-0.022249,0.039476,0.001504
81,872.81,0.850,-11.957,5.4666,3.3781,53.2328,0.0575,1.5250,0.6257,0.0000,19.5465,0.0000,24.0184,0.0000,0.0000,0.9732,0.0209,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-79.330,-66.220,11.441,1.618,6.490,-0.605293,0.960169,0.601087,0.025233,-0.022052,0.039366,0.001491
82,872.81,0.850,-11.957,5.4725,3.3781,53.2328,0.0575,1.5250,0.6257,0.0000,19.5465,0.0000,24.0184,0.0000,0.0000,0.9732,0.0209,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-79.415,-66.291,11.453,1.620,6.497,-0.605293,0.960169,0.601087,0.025233,-0.022052,0.039366,0.001491
83,872.82,0.850,-11.957,5.4725,3.3781,53.2328,0.0575,1.5250,0.6257,0.0000,19.5464,0.0000,24.0185,0.0000,0.0000,0.9732,0.0209,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-79.415,-66.290,11.453,1.620,6.497,-0.605291,0.960168,0.601085,0.025233,-0.022052,0.039366,0.001491
