Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     chromite,    hercynite,    magnetite,       spinel,   ulvospinel
74,869.66,1.000,-12.001,1.7430,4.8264,0.0000,9.3995,2.6913,49.1898,0.0000,35.8926,0.0000,2.8268,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.748,-8.978,3.299,0.361,1.576,0.000000,-0.096755,0.681379,0.155144,0.260232
75,870.68,0.950,-11.987,1.7449,4.8268,0.0000,9.4068,2.6740,49.1874,0.0000,35.9210,0.0000,2.8108,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.761,-8.982,3.304,0.362,1.578,0.000000,-0.096271,0.681486,0.154297,0.260488
76,870.68,0.950,-11.987,1.7468,4.8268,0.0000,9.4068,2.6740,49.1874,0.0000,35.9210,0.0000,2.8108,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.775,-8.992,3.307,0.362,1.579,0.000000,-0.096271,0.681486,0.154297,0.260488
77,870.68,0.950,-11.987,1.7468,4.8268,0.0000,9.4067,2.6741,49.1875,0.0000,35.9209,0.0000,2.8108,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.775,-8.992,3.307,0.362,1.579,0.000000,-0.096272,0.681488,0.154298,0.260486
78,871.73,0.900,-11.972,1.7477,4.8273,0.0000,9.4157,2.6559,49.1822,0.0000,35.9527,0.0000,2.7935,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.780,-8.990,3.310,0.362,1.580,0.000000,-0.095740,0.681564,0.153384,0.260792
79,871.73,0.900,-11.972,1.7496,4.8273,0.0000,9.4157,2.6559,49.1822,0.0000,35.9527,0.0000,2.7935,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.794,-9.000,3.314,0.362,1.582,0.000000,-0.095740,0.681564,0.153384,0.260792
80,871.74,0.900,-11.972,1.7496,4.8273,0.0000,9.4156,2.6559,49.1823,0.0000,35.9526,0.0000,2.7935,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.794,-9.000,3.314,0.362,1.582,0.000000,-0.095740,0.681565,0.153385,0.260790
81,872.81,0.850,-11.957,1.7493,4.8279,0.0000,9.4265,2.6367,49.1738,0.0000,35.9880,0.0000,2.7749,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.791,-8.993,3.314,0.362,1.582,0.000000,-0.095156,0.681605,0.152398,0.261153
82,872.81,0.850,-11.957,1.7512,4.8279,0.0000,9.4265,2.6367,49.1738,0.0000,35.9880,0.0000,2.7749,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.805,-9.002,3.318,0.363,1.583,0.000000,-0.095156,0.681605,0.152398,0.261153
83,872.82,0.850,-11.957,1.7512,4.8279,0.0000,9.4265,2.6368,49.1739,0.0000,35.9879,0.0000,2.7749,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.805,-9.002,3.318,0.363,1.583,0.000000,-0.095157,0.681606,0.152400,0.261151
